title,body,labels
Fraud alerts,"### Source Row
```json
{
  ""Unnamed: 4"": ""Fraud alerts""
}
```",sheet:Product
Suspicious activity reporting,"### Source Row
```json
{
  ""Unnamed: 4"": ""Suspicious activity reporting""
}
```",sheet:Product
Transaction verification,"### Source Row
```json
{
  ""Unnamed: 4"": ""Transaction verification""
}
```",sheet:Product
Beneficiary management,"### Source Row
```json
{
  ""Unnamed: 4"": ""Beneficiary management""
}
```",sheet:Product
Payment confirmation,"### Source Row
```json
{
  ""Unnamed: 4"": ""Payment confirmation""
}
```",sheet:Product
Transaction disputes,"### Source Row
```json
{
  ""Unnamed: 4"": ""Transaction disputes""
}
```",sheet:Product
Block/unblock cards,"### Source Row
```json
{
  ""Unnamed: 4"": ""Block/unblock cards""
}
```",sheet:Product
Value Added Services,"### Source Row
```json
{
  ""Unnamed: 2"": ""Value Added Services"",
  ""Unnamed: 3"": ""Rewards & Loyalty"",
  ""Unnamed: 4"": ""Cashback tracking""
}
```",sheet:Product
Reward points management,"### Source Row
```json
{
  ""Unnamed: 4"": ""Reward points management""
}
```",sheet:Product
Loyalty tier status,"### Source Row
```json
{
  ""Unnamed: 4"": ""Loyalty tier status""
}
```",sheet:Product
Reward redemption,"### Source Row
```json
{
  ""Unnamed: 4"": ""Reward redemption""
}
```",sheet:Product
Referral program,"### Source Row
```json
{
  ""Unnamed: 4"": ""Referral program""
}
```",sheet:Product
Special promotions,"### Source Row
```json
{
  ""Unnamed: 4"": ""Special promotions""
}
```",sheet:Product
Anniversary rewards,"### Source Row
```json
{
  ""Unnamed: 4"": ""Anniversary rewards""
}
```",sheet:Product
Business Features (B2B),"### Source Row
```json
{
  ""Unnamed: 2"": ""Business Features (B2B)"",
  ""Unnamed: 3"": ""Business Tools"",
  ""Unnamed: 4"": ""Bulk payment processing""
}
```",sheet:Product
Virtual IBAN management,"### Source Row
```json
{
  ""Unnamed: 4"": ""Virtual IBAN management""
}
```",sheet:Product
QuickBooks integration,"### Source Row
```json
{
  ""Unnamed: 4"": ""QuickBooks integration""
}
```",sheet:Product
Business analytics dashboard,"### Source Row
```json
{
  ""Unnamed: 4"": ""Business analytics dashboard""
}
```",sheet:Product
B2B Onboarding Flow,"### Source Row
```json
{
  ""Unnamed: 3"": ""B2B Onboarding Flow"",
  ""Unnamed: 4"": ""Business verification and documentation""
}
```",sheet:Product
Multi-user account setup,"### Source Row
```json
{
  ""Unnamed: 4"": ""Multi-user account setup""
}
```",sheet:Product
Role assignment for team members,"### Source Row
```json
{
  ""Unnamed: 4"": ""Role assignment for team members""
}
```",sheet:Product
Credit limit assessment,"### Source Row
```json
{
  ""Unnamed: 4"": ""Credit limit assessment""
}
```",sheet:Product
Integration documentation access,"### Source Row
```json
{
  ""Unnamed: 4"": ""Integration documentation access""
}
```",sheet:Product
API key management,"### Source Row
```json
{
  ""Unnamed: 4"": ""API key management""
}
```",sheet:Product
Compliance documentation submission,"### Source Row
```json
{
  ""Unnamed: 4"": ""Compliance documentation submission""
}
```",sheet:Product
Escrow Services,"### Source Row
```json
{
  ""Unnamed: 3"": ""Escrow Services"",
  ""Unnamed: 4"": ""Escrow account creation""
}
```",sheet:Product
Multi-signature authorization,"### Source Row
```json
{
  ""Unnamed: 4"": ""Multi-signature authorization""
}
```",sheet:Product
Release condition management,"### Source Row
```json
{
  ""Unnamed: 4"": ""Release condition management""
}
```",sheet:Product
Dispute resolution system,"### Source Row
```json
{
  ""Unnamed: 4"": ""Dispute resolution system""
}
```",sheet:Product
Escrow fee calculator,"### Source Row
```json
{
  ""Unnamed: 4"": ""Escrow fee calculator""
}
```",sheet:Product
Document verification for large transactions,"### Source Row
```json
{
  ""Unnamed: 4"": ""Document verification for large transactions""
}
```",sheet:Product
Release schedule management,"### Source Row
```json
{
  ""Unnamed: 4"": ""Release schedule management""
}
```",sheet:Product
User Interface & Experience,"### Source Row
```json
{
  ""Unnamed: 2"": ""User Interface & Experience"",
  ""Unnamed: 3"": ""Mobile Features"",
  ""Unnamed: 4"": ""Native iOS and Android apps""
}
```",sheet:Product
Biometric login,"### Source Row
```json
{
  ""Unnamed: 4"": ""Biometric login""
}
```",sheet:Product
Low-bandwidth mode,"### Source Row
```json
{
  ""Unnamed: 4"": ""Low-bandwidth mode""
}
```",sheet:Product
Offline capabilities,"### Source Row
```json
{
  ""Unnamed: 4"": ""Offline capabilities""
}
```",sheet:Product
Widget support,"### Source Row
```json
{
  ""Unnamed: 4"": ""Widget support""
}
```",sheet:Product
Quick actions,"### Source Row
```json
{
  ""Unnamed: 4"": ""Quick actions""
}
```",sheet:Product
App shortcuts,"### Source Row
```json
{
  ""Unnamed: 4"": ""App shortcuts""
}
```",sheet:Product
Dark/light mode,"### Source Row
```json
{
  ""Unnamed: 4"": ""Dark/light mode""
}
```",sheet:Product
Web Features,"### Source Row
```json
{
  ""Unnamed: 3"": ""Web Features"",
  ""Unnamed: 4"": ""Responsive dashboard""
}
```",sheet:Product
Cross-device synchronization,"### Source Row
```json
{
  ""Unnamed: 4"": ""Cross-device synchronization""
}
```",sheet:Product
Progressive web app,"### Source Row
```json
{
  ""Unnamed: 4"": ""Progressive web app""
}
```",sheet:Product
Keyboard shortcuts,"### Source Row
```json
{
  ""Unnamed: 4"": ""Keyboard shortcuts""
}
```",sheet:Product
Data export capabilities,"### Source Row
```json
{
  ""Unnamed: 4"": ""Data export capabilities""
}
```",sheet:Product
Custom dashboard layout,"### Source Row
```json
{
  ""Unnamed: 4"": ""Custom dashboard layout""
}
```",sheet:Product
Multi-screen support,"### Source Row
```json
{
  ""Unnamed: 4"": ""Multi-screen support""
}
```",sheet:Product
Browser notifications,"### Source Row
```json
{
  ""Unnamed: 4"": ""Browser notifications""
}
```",sheet:Product
Support,"### Source Row
```json
{
  ""Unnamed: 2"": ""Support"",
  ""Unnamed: 3"": ""Customer Support"",
  ""Unnamed: 4"": ""In-app chat support""
}
```",sheet:Product
Ticket creation,"### Source Row
```json
{
  ""Unnamed: 4"": ""Ticket creation""
}
```",sheet:Product
Video call support,"### Source Row
```json
{
  ""Unnamed: 4"": ""Video call support""
}
```",sheet:Product
Knowledge base,"### Source Row
```json
{
  ""Unnamed: 4"": ""Knowledge base""
}
```",sheet:Product
FAQs,"### Source Row
```json
{
  ""Unnamed: 4"": ""FAQs""
}
```",sheet:Product
Community forum,"### Source Row
```json
{
  ""Unnamed: 4"": ""Community forum""
}
```",sheet:Product
Feedback submission,"### Source Row
```json
{
  ""Unnamed: 4"": ""Feedback submission""
}
```",sheet:Product
Support status tracking,"### Source Row
```json
{
  ""Unnamed: 4"": ""Support status tracking""
}
```",sheet:Product
ADMINISTRATOR,"### Source Row
```json
{
  ""Unnamed: 1"": ""ADMINISTRATOR"",
  ""Unnamed: 2"": ""Customer Management"",
  ""Unnamed: 3"": ""Customer 360° View"",
  ""Unnamed: 4"": ""Unified customer profile dashboard""
}
```",sheet:Product
Transaction history and patterns,"### Source Row
```json
{
  ""Unnamed: 4"": ""Transaction history and patterns""
}
```",sheet:Product
Risk profile scoring,"### Source Row
```json
{
  ""Unnamed: 4"": ""Risk profile scoring""
}
```",sheet:Product
Customer segmentation,"### Source Row
```json
{
  ""Unnamed: 4"": ""Customer segmentation""
}
```",sheet:Product
Lifetime value tracking,"### Source Row
```json
{
  ""Unnamed: 4"": ""Lifetime value tracking""
}
```",sheet:Product
Service usage analytics,"### Source Row
```json
{
  ""Unnamed: 4"": ""Service usage analytics""
}
```",sheet:Product
Customer interaction history,"### Source Row
```json
{
  ""Unnamed: 4"": ""Customer interaction history""
}
```",sheet:Product
Document repository,"### Source Row
```json
{
  ""Unnamed: 4"": ""Document repository""
}
```",sheet:Product
Account Management,"### Source Row
```json
{
  ""Unnamed: 3"": ""Account Management"",
  ""Unnamed: 4"": ""Account status management""
}
```",sheet:Product
Balance monitoring,"### Source Row
```json
{
  ""Unnamed: 4"": ""Balance monitoring""
}
```",sheet:Product
Transaction limits configuration,"### Source Row
```json
{
  ""Unnamed: 4"": ""Transaction limits configuration""
}
```",sheet:Product
Fee structure customization,"### Source Row
```json
{
  ""Unnamed: 4"": ""Fee structure customization""
}
```",sheet:Product
Service access control,"### Source Row
```json
{
  ""Unnamed: 4"": ""Service access control""
}
```",sheet:Product
Account freezing/unfreezing,"### Source Row
```json
{
  ""Unnamed: 4"": ""Account freezing/unfreezing""
}
```",sheet:Product
Customer tier management,"### Source Row
```json
{
  ""Unnamed: 4"": ""Customer tier management""
}
```",sheet:Product
Account closure workflow,"### Source Row
```json
{
  ""Unnamed: 4"": ""Account closure workflow""
}
```",sheet:Product
Customer Support,"### Source Row
```json
{
  ""Unnamed: 3"": ""Customer Support"",
  ""Unnamed: 4"": ""Ticket management system""
}
```",sheet:Product
Customer communication history,"### Source Row
```json
{
  ""Unnamed: 4"": ""Customer communication history""
}
```",sheet:Product
Dispute resolution workflow,"### Source Row
```json
{
  ""Unnamed: 4"": ""Dispute resolution workflow""
}
```",sheet:Product
Refund processing,"### Source Row
```json
{
  ""Unnamed: 4"": ""Refund processing""
}
```",sheet:Product
Service request tracking,"### Source Row
```json
{
  ""Unnamed: 4"": ""Service request tracking""
}
```",sheet:Product
Customer feedback management,"### Source Row
```json
{
  ""Unnamed: 4"": ""Customer feedback management""
}
```",sheet:Product
SLA monitoring,"### Source Row
```json
{
  ""Unnamed: 4"": ""SLA monitoring""
}
```",sheet:Product
Support agent performance tracking,"### Source Row
```json
{
  ""Unnamed: 4"": ""Support agent performance tracking""
}
```",sheet:Product
Financial Management,"### Source Row
```json
{
  ""Unnamed: 2"": ""Financial Management"",
  ""Unnamed: 3"": ""Ledger Management"",
  ""Unnamed: 4"": ""Double-entry accounting system""
}
```",sheet:Product
Real-time balance sheet,"### Source Row
```json
{
  ""Unnamed: 4"": ""Real-time balance sheet""
}
```",sheet:Product
Profit & loss statements,"### Source Row
```json
{
  ""Unnamed: 4"": ""Profit & loss statements""
}
```",sheet:Product
Trial balance generation,"### Source Row
```json
{
  ""Unnamed: 4"": ""Trial balance generation""
}
```",sheet:Product
Journal entry management,"### Source Row
```json
{
  ""Unnamed: 4"": ""Journal entry management""
}
```",sheet:Product
Account reconciliation,"### Source Row
```json
{
  ""Unnamed: 4"": ""Account reconciliation""
}
```",sheet:Product
Multi-currency support,"### Source Row
```json
{
  ""Unnamed: 4"": ""Multi-currency support""
}
```",sheet:Product
Financial year management,"### Source Row
```json
{
  ""Unnamed: 4"": ""Financial year management""
}
```",sheet:Product
Treasury Management,"### Source Row
```json
{
  ""Unnamed: 3"": ""Treasury Management"",
  ""Unnamed: 4"": ""Liquidity monitoring""
}
```",sheet:Product
Cash flow forecasting,"### Source Row
```json
{
  ""Unnamed: 4"": ""Cash flow forecasting""
}
```",sheet:Product
FX position management,"### Source Row
```json
{
  ""Unnamed: 4"": ""FX position management""
}
```",sheet:Product
Interest calculation,"### Source Row
```json
{
  ""Unnamed: 4"": ""Interest calculation""
}
```",sheet:Product
Fund allocation tracking,"### Source Row
```json
{
  ""Unnamed: 4"": ""Fund allocation tracking""
}
```",sheet:Product
Bank account management,"### Source Row
```json
{
  ""Unnamed: 4"": ""Bank account management""
}
```",sheet:Product
Investment portfolio tracking,"### Source Row
```json
{
  ""Unnamed: 4"": ""Investment portfolio tracking""
}
```",sheet:Product
Revenue Management,"### Source Row
```json
{
  ""Unnamed: 3"": ""Revenue Management"",
  ""Unnamed: 4"": ""Fee collection tracking""
}
```",sheet:Product
Revenue recognition,"### Source Row
```json
{
  ""Unnamed: 4"": ""Revenue recognition""
}
```",sheet:Product
Commission calculation,"### Source Row
```json
{
  ""Unnamed: 4"": ""Commission calculation""
}
```",sheet:Product
Promotional discount tracking,"### Source Row
```json
{
  ""Unnamed: 4"": ""Promotional discount tracking""
}
```",sheet:Product
Refund management,"### Source Row
```json
{
  ""Unnamed: 4"": ""Refund management""
}
```",sheet:Product
Revenue forecasting,"### Source Row
```json
{
  ""Unnamed: 4"": ""Revenue forecasting""
}
```",sheet:Product
Profitability analysis,"### Source Row
```json
{
  ""Unnamed: 4"": ""Profitability analysis""
}
```",sheet:Product
Regulatory Compliance,"### Source Row
```json
{
  ""Unnamed: 2"": ""Regulatory Compliance"",
  ""Unnamed: 3"": ""Compliance Reporting"",
  ""Unnamed: 4"": ""Suspicious Activity Reports (SARs)""
}
```",sheet:Product
Currency Transaction Reports (CTRs),"### Source Row
```json
{
  ""Unnamed: 4"": ""Currency Transaction Reports (CTRs)""
}
```",sheet:Product
Know Your Customer (KYC) reports,"### Source Row
```json
{
  ""Unnamed: 4"": ""Know Your Customer (KYC) reports""
}
```",sheet:Product
Anti-Money Laundering (AML) reports,"### Source Row
```json
{
  ""Unnamed: 4"": ""Anti-Money Laundering (AML) reports""
}
```",sheet:Product
Regulatory examination support,"### Source Row
```json
{
  ""Unnamed: 4"": ""Regulatory examination support""
}
```",sheet:Product
Compliance training tracking,"### Source Row
```json
{
  ""Unnamed: 4"": ""Compliance training tracking""
}
```",sheet:Product
Policy violation reports,"### Source Row
```json
{
  ""Unnamed: 4"": ""Policy violation reports""
}
```",sheet:Product
Risk assessment reports,"### Source Row
```json
{
  ""Unnamed: 4"": ""Risk assessment reports""
}
```",sheet:Product
Regulatory Requirements,"### Source Row
```json
{
  ""Unnamed: 3"": ""Regulatory Requirements"",
  ""Unnamed: 4"": ""License management""
}
```",sheet:Product
Regulatory filing calendar,"### Source Row
```json
{
  ""Unnamed: 4"": ""Regulatory filing calendar""
}
```",sheet:Product
Compliance deadline tracking,"### Source Row
```json
{
  ""Unnamed: 4"": ""Compliance deadline tracking""
}
```",sheet:Product
Regulatory correspondence,"### Source Row
```json
{
  ""Unnamed: 4"": ""Regulatory correspondence""
}
```",sheet:Product
Policy document management,"### Source Row
```json
{
  ""Unnamed: 4"": ""Policy document management""
}
```",sheet:Product
Risk Management,"### Source Row
```json
{
  ""Unnamed: 3"": ""Risk Management"",
  ""Unnamed: 4"": ""Risk assessment framework""
}
```",sheet:Product
Risk scoring models,"### Source Row
```json
{
  ""Unnamed: 4"": ""Risk scoring models""
}
```",sheet:Product
Exposure monitoring,"### Source Row
```json
{
  ""Unnamed: 4"": ""Exposure monitoring""
}
```",sheet:Product
Limit management,"### Source Row
```json
{
  ""Unnamed: 4"": ""Limit management""
}
```",sheet:Product
Risk reporting dashboard,"### Source Row
```json
{
  ""Unnamed: 4"": ""Risk reporting dashboard""
}
```",sheet:Product
Incident management,"### Source Row
```json
{
  ""Unnamed: 4"": ""Incident management""
}
```",sheet:Product
Risk mitigation tracking,"### Source Row
```json
{
  ""Unnamed: 4"": ""Risk mitigation tracking""
}
```",sheet:Product
Control effectiveness monitoring,"### Source Row
```json
{
  ""Unnamed: 4"": ""Control effectiveness monitoring""
}
```",sheet:Product
KYC Management,"### Source Row
```json
{
  ""Unnamed: 2"": ""KYC Management"",
  ""Unnamed: 3"": ""KYC Administration"",
  ""Unnamed: 4"": ""Manual review system for flagged cases""
}
```",sheet:Product
Blockchain-based KYC data management,"### Source Row
```json
{
  ""Unnamed: 4"": ""Blockchain-based KYC data management""
}
```",sheet:Product
User verification status monitoring,"### Source Row
```json
{
  ""Unnamed: 4"": ""User verification status monitoring""
}
```",sheet:Product
Document validation tools,"### Source Row
```json
{
  ""Unnamed: 4"": ""Document validation tools""
}
```",sheet:Product
Compliance Management,"### Source Row
```json
{
  ""Unnamed: 3"": ""Compliance Management"",
  ""Unnamed: 4"": ""AML monitoring tools""
}
```",sheet:Product
Sanctions screening interface,"### Source Row
```json
{
  ""Unnamed: 4"": ""Sanctions screening interface""
}
```",sheet:Product
Risk assessment dashboard,"### Source Row
```json
{
  ""Unnamed: 4"": ""Risk assessment dashboard""
}
```",sheet:Product
Regulatory reporting tools,"### Source Row
```json
{
  ""Unnamed: 4"": ""Regulatory reporting tools""
}
```",sheet:Product
Role-Based Access Control,"### Source Row
```json
{
  ""Unnamed: 2"": ""Role-Based Access Control"",
  ""Unnamed: 3"": ""Staff Management"",
  ""Unnamed: 4"": ""Role creation and configuration""
}
```",sheet:Product
Permission assignment,"### Source Row
```json
{
  ""Unnamed: 4"": ""Permission assignment""
}
```",sheet:Product
Access level management,"### Source Row
```json
{
  ""Unnamed: 4"": ""Access level management""
}
```",sheet:Product
Staff onboarding workflow,"### Source Row
```json
{
  ""Unnamed: 4"": ""Staff onboarding workflow""
}
```",sheet:Product
Performance tracking,"### Source Row
```json
{
  ""Unnamed: 4"": ""Performance tracking""
}
```",sheet:Product
Activity monitoring,"### Source Row
```json
{
  ""Unnamed: 4"": ""Activity monitoring""
}
```",sheet:Product
Training module assignment,"### Source Row
```json
{
  ""Unnamed: 4"": ""Training module assignment""
}
```",sheet:Product
Department Management,"### Source Row
```json
{
  ""Unnamed: 3"": ""Department Management"",
  ""Unnamed: 4"": ""Department creation and structuring""
}
```",sheet:Product
Role hierarchy configuration,"### Source Row
```json
{
  ""Unnamed: 4"": ""Role hierarchy configuration""
}
```",sheet:Product
Cross-department permission management,"### Source Row
```json
{
  ""Unnamed: 4"": ""Cross-department permission management""
}
```",sheet:Product
Approval workflow configuration,"### Source Row
```json
{
  ""Unnamed: 4"": ""Approval workflow configuration""
}
```",sheet:Product
Transaction Management,"### Source Row
```json
{
  ""Unnamed: 2"": ""Transaction Management"",
  ""Unnamed: 3"": ""Transaction Monitoring"",
  ""Unnamed: 4"": ""Real-time transaction dashboard""
}
```",sheet:Product
Transaction categorization,"### Source Row
```json
{
  ""Unnamed: 4"": ""Transaction categorization""
}
```",sheet:Product
High-value transaction alerts,"### Source Row
```json
{
  ""Unnamed: 4"": ""High-value transaction alerts""
}
```",sheet:Product
Transaction routing management,"### Source Row
```json
{
  ""Unnamed: 4"": ""Transaction routing management""
}
```",sheet:Product
Fee calculation verification,"### Source Row
```json
{
  ""Unnamed: 4"": ""Fee calculation verification""
}
```",sheet:Product
Exchange rate management,"### Source Row
```json
{
  ""Unnamed: 4"": ""Exchange rate management""
}
```",sheet:Product
Settlement tracking,"### Source Row
```json
{
  ""Unnamed: 4"": ""Settlement tracking""
}
```",sheet:Product
Batch transaction processing,"### Source Row
```json
{
  ""Unnamed: 4"": ""Batch transaction processing""
}
```",sheet:Product
Settlement Management,"### Source Row
```json
{
  ""Unnamed: 3"": ""Settlement Management"",
  ""Unnamed: 4"": ""Settlement cycle management""
}
```",sheet:Product
Settlement reconciliation,"### Source Row
```json
{
  ""Unnamed: 4"": ""Settlement reconciliation""
}
```",sheet:Product
Payment gateway settlement,"### Source Row
```json
{
  ""Unnamed: 4"": ""Payment gateway settlement""
}
```",sheet:Product
Partner settlement tracking,"### Source Row
```json
{
  ""Unnamed: 4"": ""Partner settlement tracking""
}
```",sheet:Product
Settlement dispute resolution,"### Source Row
```json
{
  ""Unnamed: 4"": ""Settlement dispute resolution""
}
```",sheet:Product
Settlement reporting,"### Source Row
```json
{
  ""Unnamed: 4"": ""Settlement reporting""
}
```",sheet:Product
Float management,"### Source Row
```json
{
  ""Unnamed: 4"": ""Float management""
}
```",sheet:Product
Wallet Management,"### Source Row
```json
{
  ""Unnamed: 2"": ""Wallet Management"",
  ""Unnamed: 3"": ""System Wallet Control"",
  ""Unnamed: 4"": ""Master wallet monitoring""
}
```",sheet:Product
Virtual account management,"### Source Row
```json
{
  ""Unnamed: 4"": ""Virtual account management""
}
```",sheet:Product
Wallet balance reconciliation,"### Source Row
```json
{
  ""Unnamed: 4"": ""Wallet balance reconciliation""
}
```",sheet:Product
Wallet limit management,"### Source Row
```json
{
  ""Unnamed: 4"": ""Wallet limit management""
}
```",sheet:Product
Wallet type configuration,"### Source Row
```json
{
  ""Unnamed: 4"": ""Wallet type configuration""
}
```",sheet:Product
Wallet status management,"### Source Row
```json
{
  ""Unnamed: 4"": ""Wallet status management""
}
```",sheet:Product
Customer Wallet Operations,"### Source Row
```json
{
  ""Unnamed: 3"": ""Customer Wallet Operations"",
  ""Unnamed: 4"": ""Wallet creation workflow""
}
```",sheet:Product
Balance management,"### Source Row
```json
{
  ""Unnamed: 4"": ""Balance management""
}
```",sheet:Product
Transaction limits,"### Source Row
```json
{
  ""Unnamed: 4"": ""Transaction limits""
}
```",sheet:Product
Access control,"### Source Row
```json
{
  ""Unnamed: 4"": ""Access control""
}
```",sheet:Product
Feature enablement,"### Source Row
```json
{
  ""Unnamed: 4"": ""Feature enablement""
}
```",sheet:Product
Account linking,"### Source Row
```json
{
  ""Unnamed: 4"": ""Account linking""
}
```",sheet:Product
Wallet upgrade/downgrade,"### Source Row
```json
{
  ""Unnamed: 4"": ""Wallet upgrade/downgrade""
}
```",sheet:Product
Closure processing,"### Source Row
```json
{
  ""Unnamed: 4"": ""Closure processing""
}
```",sheet:Product
Escrow Administration,"### Source Row
```json
{
  ""Unnamed: 2"": ""Escrow Administration"",
  ""Unnamed: 3"": ""Account Oversight"",
  ""Unnamed: 4"": ""Monitor all escrow accounts""
}
```",sheet:Product
Review account creation requests,"### Source Row
```json
{
  ""Unnamed: 4"": ""Review account creation requests""
}
```",sheet:Product
Manage escrow templates,"### Source Row
```json
{
  ""Unnamed: 4"": ""Manage escrow templates""
}
```",sheet:Product
Configure fee structures,"### Source Row
```json
{
  ""Unnamed: 4"": ""Configure fee structures""
}
```",sheet:Product
Set transaction limits,"### Source Row
```json
{
  ""Unnamed: 4"": ""Set transaction limits""
}
```",sheet:Product
Monitor account balances,"### Source Row
```json
{
  ""Unnamed: 4"": ""Monitor account balances""
}
```",sheet:Product
Track dormant accounts,"### Source Row
```json
{
  ""Unnamed: 4"": ""Track dormant accounts""
}
```",sheet:Product
Manage interest distributions,"### Source Row
```json
{
  ""Unnamed: 4"": ""Manage interest distributions""
}
```",sheet:Product
Transaction Management,"### Source Row
```json
{
  ""Unnamed: 3"": ""Transaction Management"",
  ""Unnamed: 4"": ""Review release requests""
}
```",sheet:Product
Monitor milestone completions,"### Source Row
```json
{
  ""Unnamed: 4"": ""Monitor milestone completions""
}
```",sheet:Product
Verify supporting documents,"### Source Row
```json
{
  ""Unnamed: 4"": ""Verify supporting documents""
}
```",sheet:Product
Process manual releases,"### Source Row
```json
{
  ""Unnamed: 4"": ""Process manual releases""
}
```",sheet:Product
Override automated releases,"### Source Row
```json
{
  ""Unnamed: 4"": ""Override automated releases""
}
```",sheet:Product
Manage payment schedules,"### Source Row
```json
{
  ""Unnamed: 4"": ""Manage payment schedules""
}
```",sheet:Product
Track failed transactions,"### Source Row
```json
{
  ""Unnamed: 4"": ""Track failed transactions""
}
```",sheet:Product
Monitor suspicious activities,"### Source Row
```json
{
  ""Unnamed: 4"": ""Monitor suspicious activities""
}
```",sheet:Product
